run_id,config_hash,seed,arm,extinction_count,emergence_count,species_alive_at_end,total_turnover,last_event_tick,freeze_classification,rescue_count
18,9cee47b364888d92665c37902d7b35d099a32780dcd5c38060d8b9e6d8526e35,9,evolving_floor_0.001,296,297,1,593,39780,censored_active,0
19,bfe86c7d9277a1873e4c72c8f8bc169d3ed88effd0bb88aba999bbfda16857a6,3,evolving_floor_0.004,165,166,1,331,36760,censored_active,0
20,8b0f9778d9e84ed005054201877859b6997d583932ae3e9543d5ca4da77e88e2,10,evolving_floor_0.001,336,338,2,674,39990,censored_active,0
21,0abf9fcf18476a25111a419e7d36c116a3f4fafd1fffb16058e1da534988394c,4,evolving_floor_0.004,415,418,3,833,39970,censored_active,0
22,8dfa0d93ffd103fe29f3708b5cfab82af5c9004b9ebc3a11f466ceca4894b1c1,1,evolving_floor_0.002,221,222,1,443,27100,observed_freeze,0
23,fd3f2c94a1bac5dd27738c0d601535c3cba7124b2a873591ef7d444dd1244ea3,5,evolving_floor_0.004,90,91,1,181,21140,observed_freeze,0
24,6426ec5c074ab397ef094bf0de7db7ae04ca4c1f44373b129ef7cd080ff30104,2,evolving_floor_0.002,311,312,1,623,39990,censored_active,0
25,02265d7ad6409484b5508e9d703bae55f38f8276237e14e88fabc4dd823c2c89,6,evolving_floor_0.004,431,432,1,863,39490,censored_active,0
26,e446b89a5494ae3d75f6202aade2e5ff409bc9195b25ddacbe869197ecd902c0,3,evolving_floor_0.002,240,243,3,483,39910,censored_active,0
27,d3d1b93b6e98f339f79dab8602e8e792676acd5fa4b1bca88e30eeaaab804e01,7,evolving_floor_0.004,254,257,3,511,39990,censored_active,0
28,4f8979c985d4d1a15bd1c48287db7532d64a92effa9c2bbcfe2a5f6e91d9d97f,10,fixed_0.001,22,23,1,45,400,observed_freeze,0
29,fa4709fcddb71226a24004d06e80d4685eadf8ad8b137dcd29c25caa56801b6a,8,evolving_floor_0.004,146,147,1,293,38130,censored_active,0
30,209455154dc8eaea635af063b0f5df5e5f3b4387f5db2df1a5d9ca51c09a61f2,9,evolving_floor_0.004,247,248,1,495,38050,censored_active,0
31,cf9b03a55fc6f70da8b2be672ac984c9a1cb0b9ef4ab4d0ebed30577298f247f,1,fixed_0.002,22,23,1,45,1550,observed_freeze,0
32,b1a9e0098da7f348ff471dc03b7f5f3cee638a7baf5a7f005f99e0379e9c57bf,10,evolving_floor_0.004,467,468,1,935,32470,observed_freeze,0
33,753759dd9a25b54e8516cb1d926d7c20d70e3dc908827a76a20a0bdce2832106,2,fixed_0.002,14,15,1,29,260,observed_freeze,0
